Country,Date,Confirmed,Deaths,Recovered,Recover_Rate,Death_Rate
Taiwan*,43852,1,,,0,0
Japan,43852,2,,,0,0
Korea__South,43852,1,,,0,0
Thailand,43852,2,,,0,0
US,43852,1,,,0,0
China,43852,548,17,28,0.051094891,0.031021898
Thailand,43853,3,,,0,0
Korea__South,43853,1,,,0,0
Japan,43853,2,,,0,0
Vietnam,43853,2,,,0,0
US,43853,1,,,0,0
Singapore,43853,1,,,0,0
China,43853,643,18,30,0.046656299,0.027993779
Taiwan*,43853,1,,,0,0
Singapore,43854,3,,,0,0
France,43854,2,,,0,0
Thailand,43854,5,,,0,0
Vietnam,43854,2,,,0,0
US,43854,2,,,0,0
China,43854,920,26,36,0.039130435,0.02826087
Taiwan*,43854,3,,,0,0
Japan,43854,2,,,0,0
Korea__South,43854,2,,,0,0
Korea__South,43855,2,,,0,0
Thailand,43855,7,,,0,0
Nepal,43855,1,,,0,0
Taiwan*,43855,3,,,0,0
Japan,43855,2,,,0,0
US,43855,2,,,0,0
Singapore,43855,3,,,0,0
France,43855,3,,,0,0
Vietnam,43855,2,,,0,0
Malaysia,43855,3,,,0,0
China,43855,1406,42,39,0.027738265,0.029871977
Australia,43856,4,,,0,0
Japan,43856,4,,1,0.25,0
Nepal,43856,1,,,0,0
US,43856,5,,,0,0
France,43856,3,,,0,0
China,43856,2075,56,49,0.023614458,0.026987952
Canada,43856,1,,,0,0
Vietnam,43856,2,,,0,0
Korea__South,43856,3,,,0,0
Singapore,43856,4,,,0,0
Malaysia,43856,4,,,0,0
Taiwan*,43856,4,,,0,0
Thailand,43856,8,,2,0.25,0
China,43857,2877,82,58,0.020159889,0.028501912
Japan,43857,4,,1,0.25,0
France,43857,3,,,0,0
Cambodia,43857,1,,,0,0
Nepal,43857,1,,,0,0
Thailand,43857,8,,2,0.25,0
Australia,43857,5,,,0,0
Sri_Lanka,43857,1,,,0,0
Korea__South,43857,4,,,0,0
Canada,43857,1,,,0,0
Germany,43857,1,,,0,0
US,43857,5,,,0,0
Singapore,43857,5,,,0,0
Malaysia,43857,4,,,0,0
Taiwan*,43857,5,,,0,0
Vietnam,43857,2,,,0,0
Germany,43858,4,,,0,0
Japan,43858,7,,1,0.142857143,0
Korea__South,43858,4,,,0,0
Sri_Lanka,43858,1,,,0,0
China,43858,5509,131,101,0.018333636,0.02377927
Taiwan*,43858,8,,,0,0
Nepal,43858,1,,,0,0
France,43858,4,,,0,0
Malaysia,43858,4,,,0,0
Cambodia,43858,1,,,0,0
Australia,43858,5,,,0,0
US,43858,5,,,0,0
Vietnam,43858,2,,,0,0
Thailand,43858,14,,5,0.357142857,0
Singapore,43858,7,,,0,0
Canada,43858,2,,,0,0
Finland,43859,1,,,0,0
US,43859,5,,,0,0
Singapore,43859,7,,,0,0
Taiwan*,43859,8,,,0,0
Thailand,43859,14,,5,0.357142857,0
Germany,43859,4,,,0,0
Canada,43859,2,,,0,0
Nepal,43859,1,,,0,0
United_Arab_Emirates,43859,4,,,0,0
Cambodia,43859,1,,,0,0
France,43859,5,,,0,0
Australia,43859,6,,,0,0
China,43859,6087,133,120,0.019714145,0.021849844
Sri_Lanka,43859,1,,,0,0
Korea__South,43859,4,,,0,0
Malaysia,43859,7,,,0,0
Japan,43859,7,,1,0.142857143,0
Vietnam,43859,2,,,0,0
India,43860,1,,,0,0
Australia,43860,9,,2,0.222222222,0
Canada,43860,2,,,0,0
Thailand,43860,14,,5,0.357142857,0
Japan,43860,11,,1,0.090909091,0
Malaysia,43860,8,,,0,0
Philippines,43860,1,,,0,0
Vietnam,43860,2,,,0,0
US,43860,5,,,0,0
Singapore,43860,10,,,0,0
United_Arab_Emirates,43860,4,,,0,0
Cambodia,43860,1,,,0,0
France,43860,5,,,0,0
Germany,43860,4,,,0,0
Finland,43860,1,,,0,0
China,43860,8141,171,135,0.016582729,0.021004791
Korea__South,43860,4,,,0,0
Taiwan*,43860,9,,,0,0
Sri_Lanka,43860,1,,,0,0
Nepal,43860,1,,,0,0
US,43861,7,,,0,0
Taiwan*,43861,10,,,0,0
Canada,43861,4,,,0,0
Australia,43861,9,,2,0.222222222,0
Italy,43861,2,,,0,0
China,43861,9802,213,214,0.021832279,0.021730259
Germany,43861,5,,,0,0
India,43861,1,,,0,0
Russia,43861,2,,,0,0
Sweden,43861,1,,,0,0
Malaysia,43861,8,,,0,0
Thailand,43861,19,,5,0.263157895,0
Sri_Lanka,43861,1,,,0,0
Philippines,43861,1,,,0,0
Vietnam,43861,2,,,0,0
Korea__South,43861,11,,,0,0
Cambodia,43861,1,,,0,0
Finland,43861,1,,,0,0
Singapore,43861,13,,,0,0
Nepal,43861,1,,,0,0
Japan,43861,15,,1,0.066666667,0
United_Arab_Emirates,43861,4,,,0,0
France,43861,5,,,0,0
United_Kingdom,43861,2,,,0,0
Spain,43862,1,,,0,0
Philippines,43862,1,,,0,0
Sweden,43862,1,,,0,0
United_Kingdom,43862,2,,,0,0
Singapore,43862,16,,,0,0
United_Arab_Emirates,43862,4,,,0,0
US,43862,8,,,0,0
Cambodia,43862,1,,,0,0
Vietnam,43862,6,,1,0.166666667,0
Russia,43862,2,,,0,0
Canada,43862,4,,,0,0
Sri_Lanka,43862,1,,,0,0
France,43862,6,,,0,0
Korea__South,43862,12,,,0,0
Finland,43862,1,,,0,0
Germany,43862,8,,,0,0
Japan,43862,20,,1,0.05,0
Thailand,43862,19,,5,0.263157895,0
Taiwan*,43862,10,,,0,0
Nepal,43862,1,,,0,0
Italy,43862,2,,,0,0
Australia,43862,12,,2,0.166666667,0
India,43862,1,,,0,0
Malaysia,43862,8,,,0,0
China,43862,11891,259,275,0.023126735,0.021781179
Sri_Lanka,43863,1,,,0,0
India,43863,2,,,0,0
Australia,43863,12,,2,0.166666667,0
Canada,43863,4,,,0,0
China,43863,16630,361,463,0.027841251,0.021707757
Philippines,43863,2,1,,0,0.5
Singapore,43863,18,,,0,0
Malaysia,43863,8,,,0,0
Nepal,43863,1,,,0,0
Italy,43863,2,,,0,0
France,43863,6,,,0,0
Finland,43863,1,,,0,0
Korea__South,43863,15,,,0,0
Russia,43863,2,,,0,0
Japan,43863,20,,1,0.05,0
Thailand,43863,19,,5,0.263157895,0
United_Arab_Emirates,43863,5,,,0,0
United_Kingdom,43863,2,,,0,0
US,43863,8,,,0,0
Germany,43863,10,,,0,0
Sweden,43863,1,,,0,0
Vietnam,43863,6,,1,0.166666667,0
Spain,43863,1,,,0,0
Taiwan*,43863,10,,,0,0
Cambodia,43863,1,,,0,0
Finland,43864,1,,,0,0
Singapore,43864,18,,,0,0
India,43864,3,,,0,0
United_Arab_Emirates,43864,5,,,0,0
Thailand,43864,19,,5,0.263157895,0
Italy,43864,2,,,0,0
US,43864,11,,,0,0
Malaysia,43864,8,,,0,0
France,43864,6,,,0,0
Sweden,43864,1,,,0,0
Nepal,43864,1,,,0,0
Japan,43864,20,,1,0.05,0
United_Kingdom,43864,2,,,0,0
Philippines,43864,2,1,,0,0.5
Spain,43864,1,,,0,0
Taiwan*,43864,10,,,0,0
Cambodia,43864,1,,,0,0
Canada,43864,4,,,0,0
China,43864,19716,425,614,0.03114222,0.021556097
Australia,43864,12,,2,0.166666667,0
Russia,43864,2,,,0,0
Korea__South,43864,15,,,0,0
Vietnam,43864,8,,1,0.125,0
Germany,43864,12,,,0,0
Sri_Lanka,43864,1,,,0,0
Finland,43865,1,,,0,0
Australia,43865,13,,2,0.153846154,0
Taiwan*,43865,11,,,0,0
Sri_Lanka,43865,1,,,0,0
Germany,43865,12,,,0,0
Korea__South,43865,16,,,0,0
United_Kingdom,43865,2,,,0,0
Singapore,43865,24,,,0,0
Cambodia,43865,1,,,0,0
Malaysia,43865,10,,,0,0
Vietnam,43865,8,,1,0.125,0
Philippines,43865,2,1,,0,0.5
Sweden,43865,1,,,0,0
US,43865,11,,,0,0
Canada,43865,4,,,0,0
United_Arab_Emirates,43865,5,,,0,0
